SuggestedAction, SuggestionMessage, Success, ErrorMessage, BuyingSuggestionLowLimit, BuyingSuggestionHighLimit, SellingSuggestionLowLimit, SellingSuggestionHighLimit, ExpectedLowPercent, ExpectedHighPercent, PostedTS
WaitToSell,  For Stock Symbol TSLA: Our Suggested Target Range To Buy: Between 161.16 And 175.54. Our Suggested Target Range To Sell: Between 808.13 And 880.02. , True, null, 161.16, 175.54, 808.13, 880.02, 15, 15, 04/04/2021 19:40:06
WaitToSell,  For Stock Symbol NIO: Our Suggested Target Range To Buy: Between 3.24 And 4.06. Our Suggested Target Range To Sell: Between 39.94 And 44.02. , True, null, 3.24, 4.06, 39.94, 44.02, 15, 15, 04/04/2021 19:40:19
WaitToSell,  For Stock Symbol CALA: Our Suggested Target Range To Buy: Between 3.65 And 3.67. Our Suggested Target Range To Sell: Between 2.74 And 2.83. , True, null, 3.65, 3.67, 2.74, 2.83, 10, 10, 04/04/2021 19:46:42
WaitToSell,  For Stock Symbol RKT: Our Suggested Target Range To Buy: Between 19.97 And 20.13. Our Suggested Target Range To Sell: Between 27.21 And 28.01. , True, null, 19.97, 20.13, 27.21, 28.01, 10, 10, 04/04/2021 19:46:42
WaitToSell,  For Stock Symbol CAN: Our Suggested Target Range To Buy: Between 1.96 And 2.42. Our Suggested Target Range To Sell: Between 22.51 And 24.79. , True, null, 1.96, 2.42, 22.51, 24.79, 10, 10, 04/04/2021 19:46:42
WaitToSell,  For Stock Symbol SNDL: Our Suggested Target Range To Buy: Between 0.16 And 0.21. Our Suggested Target Range To Sell: Between 2.16 And 2.38. , True, null, 0.16, 0.21, 2.16, 2.38, 10, 10, 04/04/2021 19:46:42
WaitToSell,  For Stock Symbol FSR: Our Suggested Target Range To Buy: Between 10.24 And 10.60. Our Suggested Target Range To Sell: Between 26.45 And 28.25. , True, null, 10.24, 10.60, 26.45, 28.25, 10, 10, 04/04/2021 19:46:42
WaitToSell,  For Stock Symbol NYMT: Our Suggested Target Range To Buy: Between 2.67 And 2.67. Our Suggested Target Range To Sell: Between 2.84 And 2.86. , True, null, 2.67, 2.67, 2.84, 2.86, 10, 10, 04/04/2021 19:46:42
WaitToSell,  For Stock Symbol GSAT: Our Suggested Target Range To Buy: Between 0.30 And 0.35. Our Suggested Target Range To Sell: Between 2.34 And 2.57. , True, null, 0.30, 0.35, 2.34, 2.57, 10, 10, 04/04/2021 19:46:42
WaitToSell,  For Stock Symbol GME: Our Suggested Target Range To Buy: Between 4.15 And 10.57. Our Suggested Target Range To Sell: Between 292.92 And 325.00. , True, null, 4.15, 10.57, 292.92, 325.00, 10, 10, 04/04/2021 19:46:42
WaitToSell,  For Stock Symbol ASRT: Our Suggested Target Range To Buy: Between 0.43 And 0.44. Our Suggested Target Range To Sell: Between 1.02 And 1.09. , True, null, 0.43, 0.44, 1.02, 1.09, 10, 10, 04/04/2021 19:46:43
WaitToSell,  For Stock Symbol ITP: Our Suggested Target Range To Buy: Between 0.43 And 0.44. Our Suggested Target Range To Sell: Between 0.76 And 0.80. , True, null, 0.43, 0.44, 0.76, 0.80, 10, 10, 04/04/2021 19:46:43
WaitToSell,  For Stock Symbol GTE: Our Suggested Target Range To Buy: Between 0.22 And 0.24. Our Suggested Target Range To Sell: Between 0.99 And 1.08. , True, null, 0.22, 0.24, 0.99, 1.08, 10, 10, 04/04/2021 19:46:43
WaitToSell,  For Stock Symbol AGTC: Our Suggested Target Range To Buy: Between 3.86 And 3.95. Our Suggested Target Range To Sell: Between 7.76 And 8.19. , True, null, 3.86, 3.95, 7.76, 8.19, 10, 10, 04/04/2021 19:46:43
WaitToSell,  For Stock Symbol LODE: Our Suggested Target Range To Buy: Between 0.51 And 0.63. Our Suggested Target Range To Sell: Between 5.76 And 6.34. , True, null, 0.51, 0.63, 5.76, 6.34, 10, 10, 04/04/2021 19:46:43
WaitToSell,  For Stock Symbol TIGR: Our Suggested Target Range To Buy: Between 2.92 And 3.45. Our Suggested Target Range To Sell: Between 26.80 And 29.45. , True, null, 2.92, 3.45, 26.80, 29.45, 10, 10, 04/04/2021 19:49:54
WaitToSell,  For Stock Symbol QTT: Our Suggested Target Range To Buy: Between 2.33 And 2.35. Our Suggested Target Range To Sell: Between 3.34 And 3.45. , True, null, 2.33, 2.35, 3.34, 3.45, 10, 10, 04/04/2021 19:49:56
WaitToSell,  For Stock Symbol BTWN: Our Suggested Target Range To Buy: Between 11.75 And 11.86. Our Suggested Target Range To Sell: Between 16.67 And 17.22. , True, null, 11.75, 11.86, 16.67, 17.22, 10, 10, 04/04/2021 19:49:56
WaitToSell,  For Stock Symbol GHVI: Our Suggested Target Range To Buy: Between 15.78 And 15.95. Our Suggested Target Range To Sell: Between 23.59 And 24.46. , True, null, 15.78, 15.95, 23.59, 24.46, 10, 10, 04/04/2021 19:49:56
WaitToSell,  For Stock Symbol NIO: Our Suggested Target Range To Buy: Between 3.24 And 4.06. Our Suggested Target Range To Sell: Between 39.94 And 44.02. , True, null, 3.24, 4.06, 39.94, 44.02, 10, 10, 04/04/2021 19:49:57
WaitToSell,  For Stock Symbol QFIN: Our Suggested Target Range To Buy: Between 7.36 And 7.88. Our Suggested Target Range To Sell: Between 30.96 And 33.58. , True, null, 7.36, 7.88, 30.96, 33.58, 10, 10, 04/04/2021 19:49:57
WaitToSell,  For Stock Symbol HGEN: Our Suggested Target Range To Buy: Between 4.30 And 4.60. Our Suggested Target Range To Sell: Between 17.76 And 19.25. , True, null, 4.30, 4.60, 17.76, 19.25, 10, 10, 04/04/2021 19:49:57
WaitToSell,  For Stock Symbol CCIV: Our Suggested Target Range To Buy: Between 9.63 And 9.99. Our Suggested Target Range To Sell: Between 25.96 And 27.77. , True, null, 9.63, 9.99, 25.96, 27.77, 10, 10, 04/04/2021 19:49:57
